site,I(NEE;VPD)13,I(NEE;T)13,I(NEE;u)13,I(NEE;R)13,I(NEE;C13),I(LH;VPD)13,I(LH;T)13,I(LH;u)13,I(LH;R)13,I(LH;C13),U(NEE;C13),S(NEE;C13),R(NEE;C13),U+S(NEE;C13),U(LH;C13),S(LH;C13),R(LH;C13),U+S(LH;C13),I(NEE;VPD)2,I(NEE;T)2,I(NEE;u)2,I(NEE;R)2,I(NEE;H2),I(LH;VPD)2,I(LH;T)2,I(LH;u)2,I(LH;R)2,I(LH;H2),U(NEE;H2),S(NEE;H2),R(NEE;H2),U+S(NEE;H2),U(LH;H2),S(LH;H2),R(LH;H2),U+S(LH;H2),I(NEE;VPD)dx,I(NEE;T)dx,I(NEE;u)dx,I(NEE;R)dx,I(NEE;dEx),I(LH;VPD)dx,I(LH;T)dx,I(LH;u)dx,I(LH;R)dx,I(LH;dEx),U(NEE;dEx),S(NEE;dEx),R(NEE;dEx),U+S(NEE;dEx),U(LH;dEx),S(LH;dEx),R(LH;dEx),U+S(LH;dEx)
ABBY,0.22647712916347687,0.23623326437925138,0.09173361555760491,0.5517535144906823,0.07704120914261404,0.6376859754250717,0.5884179353677307,0.08309194142404366,1.1877662728621865,0.07594937647970823,0.06140578149252895,0.013088498656107084,0.0039975700562604405,0.074494280148636,0.05767839929219275,0.015206896118894796,0.006018073650739817,0.07288529541108761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BART,0.3363542159089712,0.39079868998758416,0.06041519786708074,0.5468913688946887,0.221262318870236,0.7259755937258052,0.5867257132474085,0.09902684001399166,0.8905161385555941,0.21079136733154694,0.14291717068906235,0.008876037235756211,0.05832646595212372,0.15179320792481854,0.13504999922994818,0.009061738317077959,0.05794570879949813,0.14411173754702636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLAN,0.21463045003597656,0.24969632671493303,0.1588009228526502,0.42247017999929154,0.07461233920253013,0.5750655691343661,0.4162267295953551,0.17497332220158474,0.784732635308003,0.09918526889216005,0.05561251524162277,0.01595721040772731,0.005486520019155891,0.07156972564934998,0.07050858729676962,0.011448096818710457,0.013432726670769885,0.08195668411548018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONA,0.32578096900108605,0.26016207297169924,0.11981895454144685,0.39480086806272136,0.09503205249082539,0.6022906617013852,0.679419228026569,0.11699738342644216,0.6498699738276921,0.1032669095498147,0.08069638642344361,0.0199647270862898,0.004139397302392938,0.10066111350973346,0.08281125808858614,0.01970259438209922,0.009406958660579065,0.10251385247068541,0.2007221714305457,0.17940637292389172,0.06155149527674055,0.1915212355705628,0.09264175930831867,0.7760254969873251,0.6926652988191973,0.09910490556602423,0.6110876225901108,0.2494667083048002,0.06612402459218758,0.023258373281411348,0.008758599829606684,0.08938239787359885,0.13501714491624164,0.011366715639897182,0.0813891548428896,0.14638386055613878,0.1306275287587843,0.17012832324052907,0.04519076616379485,0.09878298782371417,0.051915201410567144,0.629423180905693,0.55508375646341,0.09536238815786209,0.46540384772382204,0.09633411532518908,0.04248705383218029,0.03343194974692835,0.0008080011177724589,0.07591900357910872,0.07659885943751778,0.02521328479309593,0.007250701827762303,0.10181214423061379
CLBJ,0.19457419893292588,0.3062046461801174,0.0521840895711633,0.33462935781023045,0.1551523946982032,0.2526949252448319,0.3847799016304076,0.03302502374197863,0.4042589501017895,0.13270516398196047,0.10484560443089073,0.007946833686396319,0.029728653158985305,0.11279243811728715,0.09104738528563686,0.008302668480718006,0.02845835922535627,0.09935005376635482,0.1855690824119419,0.19138641681992383,0.05002774296737989,0.2364680073539634,0.07548610529085244,0.42714418707558,0.40323894489080003,0.027308620820054096,0.45771108596461724,0.07988171274969956,0.06127712668342771,0.031479526195958084,0.0023860728657472416,0.09275665287938577,0.06073722484162021,0.021562700023678858,0.010114709235177188,0.082299924865299,0.08747719899632371,0.1456486119697851,0.04995941702537707,0.12142596653738058,0.05251459534400708,0.40218089428660275,0.3386156407961767,0.02399743748665652,0.36585741185908693,0.04906181820778355,0.04207170213876101,0.020911470880973088,0.00047494048634495924,0.06298317301973415,0.04024439265456844,0.02577123423783281,0.0006947205280796693,0.06601562689240136
CPER,0.045165848694324245,0.07664240705242902,0.02929333921188496,0.10013236247379956,0.12752791740497063,0.12326388519221657,0.2093933995546018,0.03241440481408789,0.3176452688744882,0.38986002762662414,0.10520927886272836,0.017403196954321888,0.006932549192720424,0.1226124758170501,0.2856221518347443,0.0060064576268700435,0.07371064204269484,0.2916286094616147,0.0660316024885852,0.09002451521156482,0.03834869873251702,0.12005385845540255,0.1030192958832657,0.1537212846138101,0.21052728709016333,0.03164337496316947,0.3842302544713295,0.15911675761989788,0.0777545161591782,0.011176060963572898,0.013311357351812476,0.08893057712275113,0.0872964548469059,0.010994048772821301,0.04857274332289575,0.09829050361972713,0.07393127579641791,0.10436630728719183,0.04211104686140169,0.13061924732837835,0.04874597451416911,0.16177452207561538,0.21581103920670988,0.03152162883136007,0.40008097461591,0.08030134208433279,0.038141448602031745,0.020538872990973123,0.0006984261700759269,0.058680321593004854,0.06272179045671067,0.009673128239683521,0.005385298175700304,0.07239491869639407
DCFS,0.028282085160950952,0.03729101776260985,0.020243592199389635,0.06858733847684303,0.01969631749692261,0.16338297230958293,0.323167803052954,0.04016896071797288,0.41092742593127213,0.04387588516093106,0.015266072709072025,0.026542834908295156,0.00024674322957929433,0.04180890761736714,0.03535113882786641,0.03944183187171157,0.000587181120191345,0.074792970699578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEJU,0.18430478595628,0.18974961712319469,0.1009651287198581,0.2739418300206483,0.08781486891103638,0.508616655401248,0.5855716962880281,0.15863964531192834,0.5784905661496894,0.06541794307941724,0.06973050305129345,0.02212749665382373,0.005066665168694347,0.09185799970511713,0.04935143595676411,0.02449684829101599,0.004398274147872117,0.07384828424778006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELA,0.22252988567225815,0.2886220826320677,0.08925402572699181,0.4846914540569414,0.13854062007547657,0.481223390049702,0.5013675326926036,0.08410473671689947,0.8472612441678321,0.15730674799000638,0.09601838822099472,0.005446585519018186,0.027690995448710228,0.10146497374001295,0.11098558127522197,0.007111340247400448,0.031065298845510302,0.11809692152262226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
