date,wspd,NEE_U50_f,LE_U50_f,Tair_f,VPD_f,Rg_f,d2H,d18O,d13C
2017-01-01,,,,,,,,,
2017-01-02,,,,,,,,,
2017-01-03,,,,,,,,,
2017-01-04,,,,,,,,,
2017-01-05,,,,,,,,,
2017-01-06,,,,,,,,,
2017-01-07,,,,,,,,,
2017-01-08,,,,,,,,,
2017-01-09,,,,,,,,,
2017-01-10,,,,,,,,,
2017-01-11,,,,,,,,,
2017-01-12,,,,,,,,,
2017-01-13,,,,,,,,,
2017-01-14,,,,,,,,,
2017-01-15,,,,,,,,,
2017-01-16,,,,,,,,,
2017-01-17,,,,,,,,,
2017-01-18,,,,,,,,,
2017-01-19,,,,,,,,,
2017-01-20,,,,,,,,,
2017-01-21,,,,,,,,,
2017-01-22,,,,,,,,,
2017-01-23,,,,,,,,,
2017-01-24,,,,,,,,,
2017-01-25,,,,,,,,,
2017-01-26,,,,,,,,,
2017-01-27,,,,,,,,,
2017-01-28,,,,,,,,,
2017-01-29,,,,,,,,,
2017-01-30,,,,,,,,,
2017-01-31,,,,,,,,,
2017-02-01,,,,,,,,,
2017-02-02,,,,,,,,,
2017-02-03,,,,,,,,,
2017-02-04,,,,,,,,,
2017-02-05,,,,,,,,,
2017-02-06,,,,,,,,,
2017-02-07,,,,,,,,,
2017-02-08,,,,,,,,,
2017-02-09,,,,,,,,,
2017-02-10,,,,,,,,,
2017-02-11,,,,,,,,,
2017-02-12,,,,,,,,,
2017-02-13,,,,,,,,,
2017-02-14,,,,,,,,,
2017-02-15,,,,,,,,,
2017-02-16,,,,,,,,,
2017-02-17,,,,,,,,,
2017-02-18,,,,,,,,,
2017-02-19,,,,,,,,,
2017-02-20,,,,,,,,,
2017-02-21,,,,,,,,,
2017-02-22,,,,,,,,,
2017-02-23,,,,,,,,,
2017-02-24,,,,,,,,,
2017-02-25,,,,,,,,,
2017-02-26,,,,,,,,,
2017-02-27,,,,,,,,,
2017-02-28,,,,,,,,,
2017-03-01,,,,,,,,,
2017-03-02,,,,,,,,,
2017-03-03,,,,,,,,,
2017-03-04,,,,,,,,,
2017-03-05,,,,,,,,,
2017-03-06,,,,,,,,,
2017-03-07,,,,,,,,,
2017-03-08,,,,,,,,,
2017-03-09,,,,,,,,,
2017-03-10,,,,,,,,,
2017-03-11,,,,,,,,,
2017-03-12,,,,,,,,,
2017-03-13,,,,,,,,,
2017-03-14,,,,,,,,,
2017-03-15,,,,,,,,,
2017-03-16,,,,,,,,,
2017-03-17,,,,,,,,,
2017-03-18,,,,,,,,,
2017-03-19,,,,,,,,,
2017-03-20,,,,,,,,,
2017-03-21,,,,,,,,,
2017-03-22,,,,,,,,,
2017-03-23,,,,,,,,,
2017-03-24,,,,,,,,,
2017-03-25,,,,,,,,,
2017-03-26,,,,,,,,,
2017-03-27,,,,,,,,,
2017-03-28,,,,,,,,,
2017-03-29,,,,,,,,,
2017-03-30,,,,,,,,,
2017-03-31,,,,,,,,,
2017-04-01,,,,,,,,,
2017-04-02,,,,,,,,,
2017-04-03,,,,,,,,,
2017-04-04,,,,,,,,,
2017-04-05,,,,,,,,,
2017-04-06,,,,,,,,,
2017-04-07,,,,,,,,,
2017-04-08,,,,,,,,,
2017-04-09,,,,,,,,,
2017-04-10,,,,,,,,,
2017-04-11,,,,,,,,,
2017-04-12,,,,,,,,,
2017-04-13,,,,,,,,,
2017-04-14,,,,,,,,,
2017-04-15,,,,,,,,,
2017-04-16,,,,,,,,,
2017-04-17,,,,,,,,,
2017-04-18,,,,,,,,,
2017-04-19,,,,,,,,,
2017-04-20,,,,,,,,,
2017-04-21,,,,,,,,,
2017-04-22,,,,,,,,,
2017-04-23,,,,,,,,,
2017-04-24,,,,,,,,,
2017-04-25,,,,,,,,,
2017-04-26,,,,,,,,,
2017-04-27,,,,,,,,,
2017-04-28,,,,,,,,,
2017-04-29,,,,,,,,,
2017-04-30,,,,,,,,,
2017-05-01,,,,,,,,,
2017-05-02,,,,,,,,,
2017-05-03,,,,,,,,,
2017-05-04,,,,,,,,,
2017-05-05,,,,,,,,,
2017-05-06,,,,,,,,,
2017-05-07,,,,,,,,,
2017-05-08,,,,,,,,,
2017-05-09,,,,,,,,,
2017-05-10,,,,,,,,,
2017-05-11,,,,,,,,,
2017-05-12,,,,,,,,,
2017-05-13,,,,,,,,,
2017-05-14,,,,,,,,,
2017-05-15,,,,,,,,,
2017-05-16,,,,,,,,,
2017-05-17,,,,,,,,,
2017-05-18,,,,,,,,,
2017-05-19,,,,,,,,,
2017-05-20,,,,,,,,,
2017-05-21,,,,,,,,,
2017-05-22,,,,,,,,,
2017-05-23,,,,,,,,,
2017-05-24,,,,,,,,,
2017-05-25,,,,,,,,,
2017-05-26,,,,,,,,,
2017-05-27,,,,,,,,,
2017-05-28,,,,,,,,,
2017-05-29,,,,,,,,,
2017-05-30,,,,,,,,,
2017-05-31,,,,,,,,,
2017-06-01,,,,,,,,,
2017-06-02,,,,,,,,,
2017-06-03,,,,,,,,,
2017-06-04,,,,,,,,,
2017-06-05,,,,,,,,,
2017-06-06,,,,,,,,,
2017-06-07,,,,,,,,,
2017-06-08,,,,,,,,,
2017-06-09,,,,,,,,,
2017-06-10,,,,,,,,,
2017-06-11,,,,,,,,,
2017-06-12,,,,,,,,,
2017-06-13,,,,,,,,,
2017-06-14,,,,,,,,,
2017-06-15,1.43,4.1379166666666665,30.80486666666667,20.82166666666667,12.116666666666667,27.89333333333333,,,
2017-06-16,1.8216666666666665,-4.299897916666667,91.91848333333333,19.93625,9.279166666666667,239.42854166666666,,,
2017-06-17,1.6110416666666667,-4.447279791666666,93.13602083333335,19.660625,7.851666666666667,241.9920833333333,,,
2017-06-18,1.8812499999999999,-4.3028531249999995,40.6153375,15.019166666666665,1.5775,167.73979166666666,,,
2017-06-19,1.3666666666666665,-3.9666027083333333,45.41160416666667,13.267708333333333,1.495,156.54875,,,
2017-06-20,1.46125,-5.578875,71.70440416666666,14.408333333333333,5.164166666666667,248.09541666666667,,,
2017-06-21,1.6449999999999998,-6.555346875000001,97.61036395833334,16.88375,8.257083333333332,334.05875,,,
2017-06-22,1.5199999999999998,-0.3543604166666667,16.603958333333335,17.530625,2.160625,62.21104166666667,,,
2017-06-23,2.1239583333333334,-6.410879166666667,79.87304020833334,16.387708333333332,6.012708333333333,294.955625,,,
2017-06-24,2.1722916666666667,-4.313170416666667,52.05979854166667,12.776041666666666,3.3195833333333336,171.50312499999998,,,
2017-06-25,1.8687500000000001,-1.9614310416666667,42.44814791666666,10.946666666666665,1.2879166666666666,120.814375,,,
2017-06-26,2.0972916666666666,-2.597905625,57.26258541666667,10.540625,3.048125,193.313125,,,
2017-06-27,1.7045833333333331,-6.375477083333333,105.72804583333334,15.274791666666667,7.482500000000001,334.92333333333335,,,
2017-06-28,2.504583333333333,1.456196875,19.369038541666665,15.444375,1.7072916666666667,61.36729166666667,,,
2017-06-29,2.200416666666667,-0.871778125,19.147235416666668,16.823333333333334,1.6020833333333335,80.45041666666667,,,
2017-06-30,1.3949999999999998,-5.409720833333334,65.89128333333333,17.213958333333334,4.259791666666667,255.05270833333336,,,
2017-07-01,1.42375,-6.5076375,81.27983,17.03770833333333,5.941458333333333,309.9397916666667,,,
2017-07-02,1.77125,-7.165272916666667,99.90262291666666,17.565208333333334,7.826875,360.2160416666666,,,
2017-07-03,1.2666666666666666,-5.511710208333334,93.81796250000001,17.927291666666665,8.748958333333333,307.8954166666667,,,
2017-07-04,1.8245833333333332,-4.809808749999999,114.61481666666667,20.334374999999998,10.59375,346.9433333333333,,,
2017-07-05,1.8877083333333333,-2.6205458333333334,67.71689583333334,20.594583333333333,5.405,215.26270833333334,,,
2017-07-06,1.4925,-3.1547235416666664,72.39165416666667,22.19729166666667,9.417083333333332,250.79520833333333,,,
2017-07-07,1.68625,-5.0732687499999995,66.31718604166666,17.8,5.16375,262.5622916666667,,,
2017-07-08,1.6972916666666666,-6.404098958333333,107.54702291666666,17.628125,8.935625,322.3227083333333,,,
2017-07-09,1.3074999999999999,-2.5910772916666667,40.826566666666665,17.325416666666666,3.1341666666666668,132.65916666666666,,,
2017-07-10,1.0433333333333332,-3.8231645833333334,96.12646458333334,20.497250208333334,7.012036458333333,279.284375,,,
2017-07-11,1.0072916666666667,-2.547758333333333,96.66504166666668,22.11916666666667,9.83875,272.2083333333333,,,
2017-07-12,1.9520833333333334,-2.1185354166666666,78.343715625,21.415833333333335,4.559375,236.29020833333334,,,
2017-07-13,1.5589583333333332,-3.2398840979166668,30.224191666666666,14.608619791666667,1.6982679166666665,122.67270833333333,,,
