site,I(NEE;VPD)13,I(NEE;T)13,I(NEE;u)13,I(NEE;R)13,I(NEE;C13),I(LH;VPD)13,I(LH;T)13,I(LH;u)13,I(LH;R)13,I(LH;C13),U(NEE;C13),S(NEE;C13),R(NEE;C13),U+S(NEE;C13),U(LH;C13),S(LH;C13),R(LH;C13),U+S(LH;C13),I(NEE;VPD)2,I(NEE;T)2,I(NEE;u)2,I(NEE;R)2,I(NEE;H2),I(LH;VPD)2,I(LH;T)2,I(LH;u)2,I(LH;R)2,I(LH;H2),U(NEE;H2),S(NEE;H2),R(NEE;H2),U+S(NEE;H2),U(LH;H2),S(LH;H2),R(LH;H2),U+S(LH;H2),I(NEE;VPD)dx,I(NEE;T)dx,I(NEE;u)dx,I(NEE;R)dx,I(NEE;dEx),I(LH;VPD)dx,I(LH;T)dx,I(LH;u)dx,I(LH;R)dx,I(LH;dEx),U(NEE;dEx),S(NEE;dEx),R(NEE;dEx),U+S(NEE;dEx),U(LH;dEx),S(LH;dEx),R(LH;dEx),U+S(LH;dEx)
ABBY,0.033036329196819876,0.025253431263707292,0.030596781926743012,0.025443230459962173,0.035817440529367674,0.026148378699386892,0.02764274667078518,0.024009719900039875,0.0197816510798835,0.03563153881247004,0.029142424118219875,0.03065354107569937,0.00012913920283877186,0.05979596519391928,0.030003197283719467,0.026386329162555032,0.00011513097361398969,0.05638952644627447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BART,0.02232893406020893,0.02527328943430766,0.026512430706615308,0.02088973903046296,0.029537348621669138,0.017277810906099183,0.02258461899636994,0.03009512346368745,0.017625767140733595,0.027498204684793047,0.02411436901646731,0.028082135774369445,0.00010837187033654561,0.052196504790836755,0.02238353132153688,0.026586822094292126,9.95409247880997e-05,0.04897035341582901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLAN,0.025290563211367374,0.024506382881138766,0.028933735369273014,0.022359672543957734,0.02760035325938967,0.02430117132044831,0.021647677955239277,0.025910905394592485,0.021909138947325,0.027803836396507856,0.022208947220025307,0.026779365073219773,9.879281671129396e-05,0.048988312293245115,0.022623516593999256,0.027046984289120907,9.36522055903135e-05,0.04967050088312022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONA,0.020838492557177048,0.024865389443837586,0.022842275451781063,0.024918336007575124,0.027342941561435095,0.01939380901458378,0.028057533761045274,0.027251605388318185,0.019904130275234435,0.027963538722710984,0.022513483843431895,0.02621438641763932,0.00010556533604489911,0.048727870261071185,0.02329667037167441,0.029281181848956114,0.00010413693273575001,0.05257785222063055,0.033340126682737545,0.030834683666700734,0.03386340446948691,0.029400556996690443,0.031779133293163585,0.031390319141060496,0.0326800423614198,0.03133293229524346,0.029872632898154186,0.03414923855625911,0.02587529984285181,0.029164362443096475,0.00011228535939697098,0.0550396622859483,0.028388125599636847,0.02525384805081044,0.00011454359136101714,0.053641973650447226,0.044237919536337815,0.040212433389880016,0.04285286615294783,0.04510445078532409,0.04748666596715029,0.04457620949575404,0.03496064777086001,0.03869778103741433,0.03475127571439304,0.044325850694941424,0.03910907076258909,0.02765989446366794,0.00032036116919375934,0.06676896522625705,0.03816847874603446,0.02190542108834731,0.0002907029184311032,0.060073899834381855
CLBJ,0.02870551289892497,0.02185821290520185,0.02690954444101394,0.023872478226428878,0.027181666902321187,0.02170956016223072,0.01717898337522933,0.022261386818461532,0.0227603206700212,0.022621397660658106,0.021824718308848554,0.027615113095863876,8.899586866744491e-05,0.04943983140471238,0.01831047710724002,0.024566381715953073,7.422234757014338e-05,0.0428768588231931,0.03675045911003368,0.02705365110388556,0.025058359672267046,0.039534784727174324,0.024564015214125486,0.02651476810571944,0.05290140073394151,0.024575319866951238,0.02679710374440217,0.02327468354917912,0.01986114552911495,0.023030581403172903,0.0001147795959376832,0.04289172693228781,0.01884827028526849,0.02486585710848164,0.00010492879084912375,0.04371412739375017,0.03944890560263652,0.028348750600647035,0.0278160889646735,0.037370207267566895,0.04300445763707815,0.06169919879570024,0.031168689990600032,0.0392414391937025,0.04118147860159026,0.029626607637446345,0.03514593295318134,0.03351372783176105,0.00022027581880368057,0.06865966078494244,0.024769345219472428,0.022358948232492935,0.00021186606898541507,0.047128293451965377
CPER,0.018394955012428226,0.022993503042800397,0.028875508297795175,0.018880267446366974,0.019002447843883205,0.021945706865305753,0.01900133014455881,0.025014299979463972,0.02773976499046639,0.01824762238030075,0.015061686191708671,0.0232250816509723,5.2420880887979404e-05,0.038286767842681015,0.014665907621259544,0.022752201825670535,5.1122598068364685e-05,0.037418109446930026,0.03076206718241205,0.032193715349084245,0.029896020399778712,0.030917516814065137,0.03199980086294008,0.02717496009415771,0.026936243585815537,0.03127230677080564,0.029759517786590067,0.03232043712664775,0.026023432078769376,0.02952387326311315,0.00011224776396847901,0.055547305341882514,0.026545254475888302,0.025784510686272653,0.00011002043364389038,0.05232976516216097,0.0344544555502214,0.030504097582318642,0.0285787106137125,0.0306902492792772,0.05114283803529243,0.03179902320814954,0.030490004670131774,0.02979459446253904,0.028598116989879786,0.04513697457325348,0.04176713256800866,0.0306056381130599,0.00023438025859640906,0.07237277068106844,0.03780316923787176,0.023037161490973356,0.00022698592014688197,0.06084033072884514
DCFS,0.022243167656615045,0.03314391943345045,0.02096229028194142,0.024279437158825138,0.026451972041612017,0.02117719540747774,0.04028535724676478,0.030572269436898364,0.030402990407483493,0.032406892571269795,0.021221934200436245,0.028727897772651445,0.00011666215549322816,0.04994983197308773,0.026445603976319145,0.03100035168782982,0.00014575809098957645,0.05744595566414896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEJU,0.02234760968999414,0.024768306918596432,0.03207892931633514,0.02315661322261009,0.024858215442118695,0.018905603542398845,0.024735364526140786,0.024367456054674736,0.019343766285868026,0.024544448069262464,0.020126298854143205,0.027046859037678807,9.194344237712043e-05,0.047173157891822075,0.019797269424274,0.023996721405342605,8.593620394567476e-05,0.043793990829616616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELA,0.022905321657774716,0.019604989158881495,0.02592656804939655,0.019067465221263288,0.02814152949223875,0.021482000209571687,0.017887281211462228,0.02279963125694619,0.01787028100831992,0.026595761755644612,0.022592241459187486,0.025843162045358362,9.419132091354877e-05,0.04843540350454582,0.02178534899171003,0.024558117895460117,8.536868668888438e-05,0.04634346688717015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
