site,I(NEE;VPD)13,I(NEE;T)13,I(NEE;u)13,I(NEE;R)13,I(NEE;C13),I(LH;VPD)13,I(LH;T)13,I(LH;u)13,I(LH;R)13,I(LH;C13),U(NEE;C13),S(NEE;C13),R(NEE;C13),U+S(NEE;C13),U(LH;C13),S(LH;C13),R(LH;C13),U+S(LH;C13),I(NEE;VPD)2,I(NEE;T)2,I(NEE;u)2,I(NEE;R)2,I(NEE;H2),I(LH;VPD)2,I(LH;T)2,I(LH;u)2,I(LH;R)2,I(LH;H2),U(NEE;H2),S(NEE;H2),R(NEE;H2),U+S(NEE;H2),U(LH;H2),S(LH;H2),R(LH;H2),U+S(LH;H2),I(NEE;VPD)dx,I(NEE;T)dx,I(NEE;u)dx,I(NEE;R)dx,I(NEE;dEx),I(LH;VPD)dx,I(LH;T)dx,I(LH;u)dx,I(LH;R)dx,I(LH;dEx),U(NEE;dEx),S(NEE;dEx),R(NEE;dEx),U+S(NEE;dEx),U(LH;dEx),S(LH;dEx),R(LH;dEx),U+S(LH;dEx)
ABBY,0.02811826671771717,0.027977392539809527,0.029037777135227122,0.02444155662346144,0.039369803017517746,0.024951297079117266,0.023462628508260766,0.024258323339283468,0.01951689773658907,0.028056357923299014,0.032471638422336475,0.029523455331513456,0.00012813609979916074,0.06199509375384994,0.023021514378670845,0.02692134909162181,9.887703265501894e-05,0.04994286347029264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BART,0.019709521758671328,0.023387780472440053,0.028767156924096517,0.019385567768273517,0.02850103337895404,0.0182752959550775,0.022478020447947774,0.0261805486203102,0.01667992614044401,0.0274472986268547,0.023212930807240528,0.026653566122457294,0.00010194828418640007,0.0498664969296978,0.022267409727406335,0.025459624290024196,9.58444929230316e-05,0.04772703401743054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLAN,0.03200589425285892,0.023662454845258345,0.02634258195010682,0.022737305949754993,0.0314858406798243,0.02493074666113033,0.020845039481741934,0.023424475562805774,0.021389715803768004,0.028056279121370358,0.025875330400579658,0.027373957455795947,0.00010541801396099553,0.053249287856375574,0.022926237771387352,0.02700785439914366,9.025876834194148e-05,0.04993409217053101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONA,0.020493268351813962,0.02483047845568149,0.027075452481865502,0.019145414492945524,0.02721424737759933,0.019498021181175648,0.02990660230239685,0.023306296229820445,0.02007677826496847,0.024936038137983754,0.021960669886087223,0.02791866786732665,8.971072926452428e-05,0.0498793377534139,0.02010244835104351,0.02607856708842444,8.545424201593115e-05,0.046181015439467975,0.033488342963840366,0.028501248918606944,0.032443610574150565,0.029832999041380592,0.03523948025647,0.03261684436686687,0.03171849365046087,0.03149417752522938,0.03166390435189496,0.03105323648665505,0.028942373393711036,0.028270222866733186,0.00012316379402524182,0.057212596260444205,0.026006572909239963,0.0277866776341917,0.00011725544737988965,0.05379325054343158,0.05196090309716095,0.040707070570909755,0.041506479708645655,0.03981684367149749,0.04529427633472865,0.03542979527652828,0.03468872322961728,0.03652702958308293,0.03319454351848677,0.04583934453070313,0.03757648434375722,0.025823088552783004,0.0002926948993493746,0.0633995728965402,0.03931993892062078,0.019797456929098622,0.00026585173033311186,0.059117395849719374
CLBJ,0.02569858422629823,0.023285734848582134,0.025386340225040226,0.02232976220107326,0.032532488754140554,0.020393394806801895,0.01985099743862903,0.02207954881414237,0.018242396206064514,0.02315360252295837,0.026713340203671557,0.026187749262698,9.135053727652906e-05,0.05290108946636956,0.018739996167727955,0.024167997005440787,7.038052826847366e-05,0.04290799317316872,0.025548274285120253,0.0421374532824933,0.053667674788248305,0.033479739711692075,0.026471638565824664,0.03411802056205481,0.026998913174884037,0.02164009767994324,0.024802788902783215,0.029607286340610245,0.02158595637321391,0.023762173812727123,0.00010659793083607019,0.04534813018594099,0.024394795686668604,0.02511116575070616,0.0001036049678219448,0.04950596143737473,0.03107620582558854,0.027830039327747493,0.042922414948209975,0.03460972596262865,0.03174636774991794,0.04196186705633239,0.035911867781131306,0.02823269543388477,0.03267493585833061,0.03767879570563683,0.02479662994628034,0.02933008871082442,0.00022780364878128618,0.05412671865710479,0.0315721181333963,0.028936103192721198,0.00026160769498771155,0.06050822132611752
CPER,0.018448627878174733,0.020796656656956368,0.02973842895056636,0.017899610639199412,0.027932530795570242,0.03321098492626217,0.021879053668857913,0.02543164316027225,0.02243930638596548,0.019450509042119497,0.022219866739066976,0.02188039572151562,6.64998239021327e-05,0.04410026246058259,0.01539293914407945,0.024288361556683062,5.9103841150751665e-05,0.039681300700762506,0.02815246815296456,0.037317512350080365,0.035419604160334954,0.028781075620943137,0.03025604212248018,0.028397374733607806,0.028835792610962415,0.0313668336836738,0.026762652831110394,0.033161231053299926,0.024536768403169578,0.026259676910733984,9.329870635117963e-05,0.05079644531390351,0.02722663767659325,0.027246899012924302,9.365551397676935e-05,0.05447353668951758,0.032709088649452295,0.04055913991376136,0.03269660283932413,0.027775313395939947,0.0445492792838548,0.03145631968778938,0.03345426826814644,0.029912790788123835,0.028527037587771618,0.04740613653358351,0.037107122311665165,0.027610697192658535,0.0002370882203092603,0.06471781950432375,0.04038438367342999,0.02469017590744109,0.00023133494807513815,0.06507455958087101
DCFS,0.02517286679746454,0.036554122571995425,0.03068950872747296,0.03542703139446532,0.02904789289332568,0.024504279180359075,0.030835739092737832,0.024771557323091862,0.02260686641820719,0.024936295070755978,0.02360858581863027,0.02600491462979549,0.00014315897743286888,0.04961350044842575,0.020062078726558158,0.0277606218613097,0.0001184628568614619,0.04782270058786785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEJU,0.02549323807670754,0.027424191751492084,0.028781087352799797,0.019639066964993943,0.02955573297400452,0.01909531108842864,0.026587654540762624,0.024978814342077504,0.021788806882560012,0.02657615110791141,0.023858496752335766,0.029004093421205707,9.956716092714051e-05,0.05286259017354149,0.021518525182539966,0.024878188537673675,9.016754079362571e-05,0.04639671372021367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELA,0.020532076376471073,0.027436947552166344,0.026767250001051058,0.019275882460018788,0.026680425029113282,0.021416051273613082,0.018871907927897665,0.021471578403893885,0.020090941576061512,0.025784800962844117,0.021505647737187654,0.026732327448299925,8.614607135921357e-05,0.04823797518548757,0.02101986112544223,0.02537174649771464,7.779499879355426e-05,0.046391607623156854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
