site,I(NEE;VPD)13,I(NEE;T)13,I(NEE;u)13,I(NEE;R)13,I(NEE;C13),I(LH;VPD)13,I(LH;T)13,I(LH;u)13,I(LH;R)13,I(LH;C13),U(NEE;C13),S(NEE;C13),R(NEE;C13),U+S(NEE;C13),U(LH;C13),S(LH;C13),R(LH;C13),U+S(LH;C13),I(NEE;VPD)2,I(NEE;T)2,I(NEE;u)2,I(NEE;R)2,I(NEE;H2),I(LH;VPD)2,I(LH;T)2,I(LH;u)2,I(LH;R)2,I(LH;H2),U(NEE;H2),S(NEE;H2),R(NEE;H2),U+S(NEE;H2),U(LH;H2),S(LH;H2),R(LH;H2),U+S(LH;H2),I(NEE;VPD)dx,I(NEE;T)dx,I(NEE;u)dx,I(NEE;R)dx,I(NEE;dEx),I(LH;VPD)dx,I(LH;T)dx,I(LH;u)dx,I(LH;R)dx,I(LH;dEx),U(NEE;dEx),S(NEE;dEx),R(NEE;dEx),U+S(NEE;dEx),U(LH;dEx),S(LH;dEx),R(LH;dEx),U+S(LH;dEx)
ABBY,0.029958993337115786,0.029271856569355645,0.032466246125812614,0.020568055565523928,0.03644981976566135,0.02406797766364336,0.022381730846674594,0.02584643021630945,0.023600645273003387,0.02831608472933948,0.029638179036028424,0.03087667417402772,0.00013311977574712985,0.06051485321005618,0.023081961929615518,0.025216216626008675,0.00010945857630827673,0.048298178555624204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BART,0.024822689080244868,0.025954355345965897,0.033431634563836014,0.01918483275251276,0.032407609190595384,0.01900956549833143,0.025152384297106166,0.026433196612049598,0.01658293506253155,0.027734272432269245,0.02620787058929386,0.029046076164985057,0.00011314780114936631,0.05525394675427894,0.022290870166289195,0.02621678244228858,9.844293298210844e-05,0.04850765260857778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLAN,0.02772683408967046,0.023228139034291738,0.02853905406507672,0.025325729291806424,0.030871004733992055,0.022998437685592992,0.02182413133195493,0.023708744739524015,0.02011202335505715,0.02703398258143548,0.025002148117198423,0.027066751464366164,0.00011246662067763483,0.05206889958156459,0.021972455285355477,0.027985947147815125,9.652657838060326e-05,0.0499584024331706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONA,0.025715747398780624,0.02548041437571031,0.02290031254887017,0.025667034123792225,0.026989531773665004,0.02578394696302315,0.02600282462183233,0.028507158846825278,0.022347840556646358,0.02986756775235028,0.021929440146298017,0.02661791293686022,9.99841488909611e-05,0.048547353083158204,0.02431060932375734,0.027291107727921045,0.00010694357618414084,0.05160171705167843,0.031575719098676215,0.025529140492965865,0.029874178609001475,0.027602475516974714,0.03068114903123109,0.03569647550745372,0.02641220706543923,0.02897333053855208,0.027808244115231907,0.03283756679360904,0.02528571212175954,0.030313182667896392,0.00010812627862167005,0.05559889478965594,0.02721557563082503,0.027958853975583592,0.00011541963762641063,0.05517442960640866,0.0410517593413976,0.03462447299827793,0.037353487927234814,0.03588201992273118,0.041661983749097846,0.034515234402229124,0.03240082807438454,0.040307119799153995,0.040218843750226344,0.038410440031186155,0.03356835519880195,0.025269137372030005,0.0002949736140907151,0.05883749257083196,0.03205680780449486,0.02404407010939657,0.00027512291119307183,0.05610087791389149
CLBJ,0.02804212988247427,0.021375535940042423,0.027549269400050126,0.022992997927835178,0.027534760308639793,0.02090867505032469,0.0174446885038047,0.025595130769163473,0.01813151208234804,0.024540245405440697,0.02230600656802446,0.028753000329132937,8.803128859924824e-05,0.051059006897157394,0.02003496404501418,0.02407420910633047,7.187155655437673e-05,0.04410917315134467,0.03411078336889281,0.027862141853118035,0.024492784245785024,0.032284486474963556,0.02268774845477838,0.034258637737242345,0.0366262328630987,0.022624705887598524,0.03277396893638025,0.032188895992883104,0.018140896914260744,0.028078506654220237,7.059430799068715e-05,0.04621940356848095,0.027803839505415873,0.018386892544812485,9.583504754802354e-05,0.04619073205022839,0.02729432497007745,0.04518200247970713,0.02758988610245171,0.03473535896098568,0.03733538207121018,0.03846822617155016,0.03071390178282022,0.032932885011821865,0.0495020823283933,0.03690352044226942,0.030544490852190506,0.03236108734792208,0.0002046396527383202,0.06290557820011256,0.030621547407557907,0.023011078077394893,0.00020912020118115177,0.053632625484952755
CPER,0.021705341055341755,0.02106036578497239,0.03238159588260037,0.020145571593651313,0.02013039135940236,0.01698876514425221,0.01707590396183175,0.036213961275319714,0.01931402673415428,0.0196269518427343,0.016019799262863864,0.024003330347588538,5.6572157404791864e-05,0.04002312961045239,0.016048175886093353,0.02501090379523332,5.404705261379657e-05,0.0410590796813267,0.028741993602840438,0.027429154583666498,0.032011949643046045,0.029874643102151544,0.034090400633995314,0.02885789244754892,0.02725473830433481,0.036257647412616834,0.030338883783463368,0.028566375517515685,0.027846828194067037,0.028145811596678214,0.000100169325281964,0.05599263979074521,0.023354038000151026,0.025689013904691627,9.457540750410886e-05,0.04904305190484262,0.03245519630469686,0.03699748611021443,0.031948600117312445,0.03328416085266994,0.050020265835131514,0.03040103401008497,0.032367894452555904,0.031468933107114336,0.03258756441407408,0.04620900591939853,0.0421167209229634,0.02714145256792556,0.00023067736587192045,0.06925817349088899,0.03923054910605222,0.02206194245412391,0.00022648441772502457,0.06129249156017612
DCFS,0.01994302232659551,0.025877461608521102,0.03546613237948983,0.026753406630794223,0.024250411824063792,0.019462853377800873,0.03264281151779163,0.028844415096341603,0.024722600256264025,0.04637050479808121,0.019184067418169595,0.02795712318674651,9.697346367000363e-05,0.047141190604916054,0.037004225898325,0.03178932497694515,0.00012675240532790017,0.0687935508752701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEJU,0.02336422967754067,0.02865643998616938,0.0257822722421351,0.01899786591121693,0.022821661370127738,0.02079027602455889,0.022472191944089247,0.026527798629087947,0.01759238759361091,0.025412873398049107,0.01856085824670128,0.025417698527559034,8.330398329887197e-05,0.043978556774260304,0.02069837968235513,0.023760401947340484,8.348119844661478e-05,0.04445878162969566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELA,0.023948715718275844,0.022127165878044388,0.024390697574872944,0.020923444019869567,0.02755977147828476,0.0199690087772718,0.019453383972939914,0.02087076965203894,0.018926385016611015,0.023684413269635437,0.022297676141006164,0.02717286745268068,8.929145057374091e-05,0.04947054359368683,0.019232425003815955,0.025254954607641874,7.649264469005369e-05,0.044487379611457795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
