site,I(NEE;VPD)13,I(NEE;T)13,I(NEE;u)13,I(NEE;R)13,I(NEE;C13),I(LH;VPD)13,I(LH;T)13,I(LH;u)13,I(LH;R)13,I(LH;C13),U(NEE;C13),S(NEE;C13),R(NEE;C13),U+S(NEE;C13),U(LH;C13),S(LH;C13),R(LH;C13),U+S(LH;C13),I(NEE;VPD)2,I(NEE;T)2,I(NEE;u)2,I(NEE;R)2,I(NEE;H2),I(LH;VPD)2,I(LH;T)2,I(LH;u)2,I(LH;R)2,I(LH;H2),U(NEE;H2),S(NEE;H2),R(NEE;H2),U+S(NEE;H2),U(LH;H2),S(LH;H2),R(LH;H2),U+S(LH;H2),I(NEE;VPD)dx,I(NEE;T)dx,I(NEE;u)dx,I(NEE;R)dx,I(NEE;dEx),I(LH;VPD)dx,I(LH;T)dx,I(LH;u)dx,I(LH;R)dx,I(LH;dEx),U(NEE;dEx),S(NEE;dEx),R(NEE;dEx),U+S(NEE;dEx),U(LH;dEx),S(LH;dEx),R(LH;dEx),U+S(LH;dEx)
ABBY,0.026034734511768853,0.025692540686262335,0.0339027987065166,0.02158885744982717,0.037229277069291196,0.025887241133354888,0.02524144204525816,0.02540714774096582,0.018032328001108596,0.02856552443889845,0.030473968475751033,0.032313821590713714,0.0001251727211790943,0.06278779006646472,0.023403876332289186,0.025505568414663265,0.00010797273667601785,0.04890944474695243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BART,0.017694366002047192,0.02546261546551277,0.028449069350800958,0.019254547278120135,0.028120674953576386,0.02019766545013712,0.02379347158782259,0.024276782808328165,0.01787257651822436,0.02563122641971509,0.022873203520668614,0.026765069747482276,0.00010068848073023597,0.04963827326815087,0.020654716246660623,0.025708872062696245,9.465076348648893e-05,0.04636358830935689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLAN,0.0265445580279866,0.023012354821917602,0.027255273953803595,0.022988780192210203,0.030287145178855123,0.022265406922844417,0.019017513106327807,0.028253156659152227,0.022724770317619627,0.0320522571606033,0.024605665202604172,0.02830356929497404,0.00010446283393229535,0.052909234497578166,0.026092992429105198,0.026644588981488523,0.00010104010665135112,0.052737581410593724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONA,0.020348703122034566,0.025540322287722076,0.02480965655945645,0.020740038176961424,0.02577960749348941,0.02098138267286493,0.02506364483668261,0.026118529495419533,0.019598865710972913,0.03444647109922123,0.0208438201418048,0.025499197899474715,9.936994184618246e-05,0.04634301804127953,0.028785888744727064,0.024280072135055078,0.00011430847822571291,0.053065960879782076,0.030108928323860126,0.03310467266717233,0.03029480833710128,0.02636393775739056,0.029947518011446805,0.030757835315686065,0.027391970280590674,0.028270616557073282,0.02931668591691468,0.028805392815092912,0.02457408123971592,0.030347309227448382,0.0001123401333727918,0.05492139046716428,0.024280949235615773,0.028412572235518765,0.00011040267839368434,0.05269352147113449,0.03878391589683149,0.03909242277939622,0.043921013074373606,0.03435518577083247,0.04334507359976301,0.0405127248467232,0.03386651760141339,0.03369635434899794,0.035528018833471224,0.04890330953340963,0.03569734116259,0.027596842339170834,0.0002501621205193217,0.0632941835017608,0.04187375529161945,0.029094397923352333,0.00024531686642069423,0.0709681532149718
CLBJ,0.02377823022256105,0.020289838410921437,0.02369829331573202,0.02489028229908907,0.027401789744964804,0.021091612641037736,0.01895476327160723,0.02532839964546954,0.021044566088541255,0.023070225149382066,0.022416074286362848,0.028212356619057476,9.241426457305011e-05,0.050628430905420345,0.018597477850897732,0.024890585309816658,8.04513943138315e-05,0.043488063160714324,0.03858304397835179,0.027817109515497866,0.029043844670491266,0.02558396279336206,0.03079710738958109,0.025367666884042753,0.03075775155446515,0.02433885525472758,0.02452471086514079,0.03805145318860515,0.02625542348226166,0.02458018372439774,0.00011594131655320314,0.050835607206659486,0.03070232684803474,0.02343025947933648,0.00012094999905181317,0.054132586327371245,0.043062273180474925,0.02833369686889276,0.03863509480474682,0.056818235432434576,0.0543242961315837,0.03612850791397825,0.03465639636208027,0.03030295023499293,0.033294194605317365,0.036780649132873926,0.045925238587085124,0.026217940044682295,0.0002519482966683007,0.07214317863176736,0.030507136019286618,0.02481050562483401,0.00019495632214494276,0.05531764164412064
CPER,0.026509296369726012,0.024041190819105728,0.03685732625579365,0.019759271771616904,0.018565042516017163,0.02136084543760782,0.01772017364566345,0.03228394937710375,0.017403142060538522,0.027824241293724433,0.01470492198329946,0.025080328964934947,7.244315465938694e-05,0.039785250948234395,0.023010271429233606,0.028644465170074764,8.973057455437446e-05,0.0516547365993083,0.027082882571041966,0.027505781359784716,0.032262412167580676,0.032946269968264316,0.0350884270784492,0.02626586542467063,0.029486474527133332,0.03167408105761543,0.025574143287933858,0.03253979476270899,0.028031180165933145,0.029574979186561965,0.00010431222500069214,0.05760615935249516,0.026790160168476435,0.02816874772333128,0.00010081766490984537,0.05495890789180774,0.02844443802446525,0.030052653400863535,0.028251394144088594,0.029547722725331065,0.04152810631068137,0.026605434318502142,0.033037511130742984,0.029982658649060197,0.03361589837036377,0.03773920873814951,0.03450016609800282,0.02722315646396898,0.00019096826391899982,0.06172332256197179,0.0324385156730533,0.021051429493483542,0.00019518399981490513,0.05348994516653687
DCFS,0.02622672994305555,0.023929528790182175,0.021997880787049746,0.03229094155716908,0.027193134613240976,0.030911911536591164,0.031060287536771623,0.026299642942575998,0.029243195469530418,0.05353294390239285,0.021554746729767694,0.024783472137119397,0.00011999244643580369,0.046338218866887146,0.045934090527878835,0.025341995595673808,0.00016015122221598355,0.07127608612355264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEJU,0.024674879646344294,0.024631909393649863,0.028391347670739628,0.019063373488612326,0.032966010258709,0.019084353709168323,0.025620538262289556,0.023667822389875075,0.01698649310652009,0.024646480385459003,0.026470342996749805,0.027242337346420658,0.0001056736268057704,0.05371268034317048,0.01985379955835123,0.02342546479328349,8.52789041103659e-05,0.04327926435163472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELA,0.020743014950594902,0.018157913968832286,0.02363940356939212,0.019185425506942074,0.026772435348567027,0.017996598019571302,0.022338057206823046,0.021603541262372464,0.01687268505718946,0.02723480813469113,0.021607296504393525,0.02584576855732489,8.015557601371678e-05,0.047453065061718404,0.02203071745553936,0.024374733897676703,7.912710179971944e-05,0.046405451353216096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
