date,wspd,NEE_U50_f,LE_U50_f,Tair_f,VPD_f,Rg_f,d2H,d18O,d13C
2017-01-01,,,,,,,,,
2017-01-02,,,,,,,,,
2017-01-03,,,,,,,,,
2017-01-04,,,,,,,,,
2017-01-05,,,,,,,,,
2017-01-06,,,,,,,,,
2017-01-07,,,,,,,,,
2017-01-08,,,,,,,,,
2017-01-09,,,,,,,,,
2017-01-10,,,,,,,,,
2017-01-11,,,,,,,,,
2017-01-12,,,,,,,,,
2017-01-13,,,,,,,,,
2017-01-14,,,,,,,,,
2017-01-15,,,,,,,,,
2017-01-16,,,,,,,,,
2017-01-17,,,,,,,,,
2017-01-18,,,,,,,,,
2017-01-19,,,,,,,,,
2017-01-20,,,,,,,,,
2017-01-21,,,,,,,,,
2017-01-22,,,,,,,,,
2017-01-23,,,,,,,,,
2017-01-24,,,,,,,,,
2017-01-25,,,,,,,,,
2017-01-26,,,,,,,,,
2017-01-27,,,,,,,,,
2017-01-28,,,,,,,,,
2017-01-29,,,,,,,,,
2017-01-30,,,,,,,,,
2017-01-31,,,,,,,,,
2017-02-01,,,,,,,,,
2017-02-02,,,,,,,,,
2017-02-03,,,,,,,,,
2017-02-04,,,,,,,,,
2017-02-05,,,,,,,,,
2017-02-06,,,,,,,,,
2017-02-07,,,,,,,,,
2017-02-08,,,,,,,,,
2017-02-09,,,,,,,,,
2017-02-10,,,,,,,,,
2017-02-11,,,,,,,,,
2017-02-12,,,,,,,,,
2017-02-13,,,,,,,,,
2017-02-14,,,,,,,,,
2017-02-15,,,,,,,,,
2017-02-16,,,,,,,,,
2017-02-17,,,,,,,,,
2017-02-18,,,,,,,,,
2017-02-19,,,,,,,,,
2017-02-20,,,,,,,,,
2017-02-21,,,,,,,,,
2017-02-22,,,,,,,,,
2017-02-23,,,,,,,,,
2017-02-24,,,,,,,,,
2017-02-25,,,,,,,,,
2017-02-26,,,,,,,,,
2017-02-27,,,,,,,,,
2017-02-28,,,,,,,,,
2017-03-01,,,,,,,,,
2017-03-02,,,,,,,,,
2017-03-03,,,,,,,,,
2017-03-04,,,,,,,,,
2017-03-05,,,,,,,,,
2017-03-06,,,,,,,,,
2017-03-07,,,,,,,,,
2017-03-08,,,,,,,,,
2017-03-09,,,,,,,,,
2017-03-10,,,,,,,,,
2017-03-11,,,,,,,,,
2017-03-12,,,,,,,,,
2017-03-13,,,,,,,,,
2017-03-14,,,,,,,,,
2017-03-15,,,,,,,,,
2017-03-16,,,,,,,,,
2017-03-17,,,,,,,,,
2017-03-18,,,,,,,,,
2017-03-19,,,,,,,,,
2017-03-20,,,,,,,,,
2017-03-21,,,,,,,,,
2017-03-22,,,,,,,,,
2017-03-23,,,,,,,,,
2017-03-24,,,,,,,,,
2017-03-25,,,,,,,,,
2017-03-26,,,,,,,,,
2017-03-27,,,,,,,,,
2017-03-28,,,,,,,,,
2017-03-29,,,,,,,,,
2017-03-30,,,,,,,,,
2017-03-31,,,,,,,,,
2017-04-01,,,,,,,,,
2017-04-02,,,,,,,,,
2017-04-03,,,,,,,,,
2017-04-04,,,,,,,,,
2017-04-05,,,,,,,,,
2017-04-06,,,,,,,,,
2017-04-07,,,,,,,,,
2017-04-08,,,,,,,,,
2017-04-09,,,,,,,,,
2017-04-10,,,,,,,,,
2017-04-11,,,,,,,,,
2017-04-12,,,,,,,,,
2017-04-13,,,,,,,,,
2017-04-14,,,,,,,,,
2017-04-15,,,,,,,,,
2017-04-16,,,,,,,,,
2017-04-17,,,,,,,,,
2017-04-18,,,,,,,,,
2017-04-19,,,,,,,,,
2017-04-20,,,,,,,,,
2017-04-21,,,,,,,,,
2017-04-22,,,,,,,,,
2017-04-23,,,,,,,,,
2017-04-24,,,,,,,,,
2017-04-25,,,,,,,,,
2017-04-26,,,,,,,,,
2017-04-27,,,,,,,,,
2017-04-28,,,,,,,,,
2017-04-29,,,,,,,,,
2017-04-30,,,,,,,,,
2017-05-01,,,,,,,,,
2017-05-02,,,,,,,,,
2017-05-03,,,,,,,,,
2017-05-04,,,,,,,,,
2017-05-05,,,,,,,,,
2017-05-06,,,,,,,,,
2017-05-07,,,,,,,,,
2017-05-08,,,,,,,,,
2017-05-09,,,,,,,,,
2017-05-10,,,,,,,,,
2017-05-11,,,,,,,,,
2017-05-12,,,,,,,,,
2017-05-13,,,,,,,,,
2017-05-14,,,,,,,,,
2017-05-15,,,,,,,,,
2017-05-16,,,,,,,,,
2017-05-17,,,,,,,,,
2017-05-18,,,,,,,,,
2017-05-19,,,,,,,,,
2017-05-20,,,,,,,,,
2017-05-21,,,,,,,,,
2017-05-22,,,,,,,,,
2017-05-23,,,,,,,,,
2017-05-24,,,,,,,,,
2017-05-25,,,,,,,,,
2017-05-26,,,,,,,,,
2017-05-27,,,,,,,,,
2017-05-28,,,,,,,,,
2017-05-29,,,,,,,,,
2017-05-30,,,,,,,,,
2017-05-31,,,,,,,,,
2017-06-01,,,,,,,,,
2017-06-02,,,,,,,,,
2017-06-03,,,,,,,,,
2017-06-04,,,,,,,,,
2017-06-05,,,,,,,,,
2017-06-06,,,,,,,,,
2017-06-07,,,,,,,,,
2017-06-08,,,,,,,,,
2017-06-09,,,,,,,,,
2017-06-10,,,,,,,,,
2017-06-11,,,,,,,,,
2017-06-12,,,,,,,,,
2017-06-13,,,,,,,,,
2017-06-14,,,,,,,,,
2017-06-15,,,,,,,,,
2017-06-16,,,,,,,,,
2017-06-17,,,,,,,,,
2017-06-18,,,,,,,,,
2017-06-19,,,,,,,,,
2017-06-20,,,,,,,,,
2017-06-21,,,,,,,,,
2017-06-22,,,,,,,,,
2017-06-23,,,,,,,,,
2017-06-24,,,,,,,,,
2017-06-25,,,,,,,,,
2017-06-26,,,,,,,,,
2017-06-27,,,,,,,,,
2017-06-28,,,,,,,,,
2017-06-29,,,,,,,,,
2017-06-30,,,,,,,,,
2017-07-01,,,,,,,,,
2017-07-02,,,,,,,,,
2017-07-03,,,,,,,,,
2017-07-04,,,,,,,,,
2017-07-05,,,,,,,,,
2017-07-06,,,,,,,,,
2017-07-07,,,,,,,,,
2017-07-08,,,,,,,,,
2017-07-09,,,,,,,,,
2017-07-10,,,,,,,,,
2017-07-11,,,,,,,,,
2017-07-12,7.056666666666667,,,2.6091875,0.891219375,321.0288888888889,,,
2017-07-13,3.622826086956522,,,3.869935416666667,0.9212972916666667,283.63645833333334,,,
2017-07-14,3.7289583333333334,,,6.5757104166666664,1.3911179166666665,322.6095833333333,,,
2017-07-15,6.197083333333333,,,6.967960416666667,1.1334666666666666,130.55958333333334,,,
2017-07-16,6.09875,,,6.745558333333332,0.9676552083333333,93.50083333333333,,,
2017-07-17,4.575833333333333,,,7.834508333333333,1.3747266666666667,146.05083333333334,,,
2017-07-18,2.5641666666666665,,,7.467579166666667,1.2780764583333333,88.29520833333333,,,
2017-07-19,2.464,,,1.002529375,0.39837000000000006,101.41583333333334,,,
2017-07-20,,,,2.613077083333333,0.4763445833333333,150.39270833333333,,,
2017-07-21,,,,4.902633333333333,0.7406395833333334,144.10791666666665,,,
2017-07-22,,,,7.000516666666667,1.112285,124.58458333333334,,,
2017-07-23,,,,6.023702083333333,0.6907252083333333,52.69645833333333,,,
2017-07-24,,,,7.798633333333334,1.3350595833333332,136.38625,,,
2017-07-25,,,,4.181522916666666,0.9227014583333334,154.86270833333333,,,
2017-07-26,5.094545454545455,,,2.3000000000000003,0.6870833333333333,229.92916666666667,,,
2017-07-27,5.8308333333333335,,,7.552916666666667,1.1635760416666667,282.2285416666667,,,
2017-07-28,3.501041666666667,,,12.0375,,239.08875,,,
2017-07-29,4.920625,,,12.389375,,162.19583333333333,,,
2017-07-30,4.560833333333333,,,5.567916666666666,1.4110416666666667,197.37520833333335,,,
2017-07-31,4.832083333333333,,,14.169583333333334,,148.28083333333333,,,
2017-08-01,8.316458333333333,,,9.470833333333333,1.133125,119.41208333333333,,,
2017-08-02,3.0220833333333332,,,5.9589583333333325,0.285,85.82208333333334,,,
2017-08-03,2.776666666666667,,,3.9949999999999997,0.511875,132.78437499999998,,,
2017-08-04,3.7620833333333334,,,9.424375,,165.12520833333335,,,
2017-08-05,4.036875,,,8.945208333333333,1.3062500000000001,82.23854166666666,,,
2017-08-06,2.3816666666666664,,,5.258541666666667,1.145,88.10812499999999,,,
2017-08-07,3.7081250000000003,,,5.964166666666666,0.443604375,56.320625,,,
2017-08-08,3.8785416666666666,,,8.990416666666667,0.9700064583333333,93.52145833333333,,,
2017-08-09,6.0164583333333335,,,4.832291666666666,1.0052083333333333,85.746875,,,
2017-08-10,4.690625,,,6.638541666666666,,34.02375,,,
