date,wspd,NEE_U50_f,LE_U50_f,Tair_f,VPD_f,Rg_f,d2H,d18O,d13C
2017-01-01,,,,,,,,,
2017-01-02,,,,,,,,,
2017-01-03,,,,,,,,,
2017-01-04,,,,,,,,,
2017-01-05,,,,,,,,,
2017-01-06,,,,,,,,,
2017-01-07,,,,,,,,,
2017-01-08,,,,,,,,,
2017-01-09,,,,,,,,,
2017-01-10,,,,,,,,,
2017-01-11,,,,,,,,,
2017-01-12,,,,,,,,,
2017-01-13,,,,,,,,,
2017-01-14,,,,,,,,,
2017-01-15,,,,,,,,,
2017-01-16,,,,,,,,,
2017-01-17,,,,,,,,,
2017-01-18,,,,,,,,,
2017-01-19,,,,,,,,,
2017-01-20,,,,,,,,,
2017-01-21,,,,,,,,,
2017-01-22,,,,,,,,,
2017-01-23,,,,,,,,,
2017-01-24,,,,,,,,,
2017-01-25,,,,,,,,,
2017-01-26,,,,,,,,,
2017-01-27,,,,,,,,,
2017-01-28,,,,,,,,,
2017-01-29,,,,,,,,,
2017-01-30,,,,,,,,,
2017-01-31,,,,,,,,,
2017-02-01,,,,,,,,,
2017-02-02,,,,,,,,,
2017-02-03,,,,,,,,,
2017-02-04,,,,,,,,,
2017-02-05,,,,,,,,,
2017-02-06,,,,,,,,,
2017-02-07,,,,,,,,,
2017-02-08,,,,,,,,,
2017-02-09,,,,,,,,,
2017-02-10,,,,,,,,,
2017-02-11,,,,,,,,,
2017-02-12,,,,,,,,,
2017-02-13,,,,,,,,,
2017-02-14,,,,,,,,,
2017-02-15,,,,,,,,,
2017-02-16,,,,,,,,,
2017-02-17,,,,,,,,,
2017-02-18,,,,,,,,,
2017-02-19,,,,,,,,,
2017-02-20,,,,,,,,,
2017-02-21,,,,,,,,,
2017-02-22,,,,,,,,,
2017-02-23,,,,,,,,,
2017-02-24,,,,,,,,,
2017-02-25,,,,,,,,,
2017-02-26,,,,,,,,,
2017-02-27,,,,,,,,,
2017-02-28,,,,,,,,,
2017-03-01,,,,,,,,,
2017-03-02,,,,,,,,,
2017-03-03,,,,,,,,,
2017-03-04,,,,,,,,,
2017-03-05,,,,,,,,,
2017-03-06,,,,,,,,,
2017-03-07,,,,,,,,,
2017-03-08,,,,,,,,,
2017-03-09,,,,,,,,,
2017-03-10,,,,,,,,,
2017-03-11,,,,,,,,,
2017-03-12,,,,,,,,,
2017-03-13,,,,,,,,,
2017-03-14,,,,,,,,,
2017-03-15,,,,,,,,,
2017-03-16,,,,,,,,,
2017-03-17,,,,,,,,,
2017-03-18,,,,,,,,,
2017-03-19,,,,,,,,,
2017-03-20,,,,,,,,,
2017-03-21,,,,,,,,,
2017-03-22,,,,,,,,,
2017-03-23,,,,,,,,,
2017-03-24,,,,,,,,,
2017-03-25,,,,,,,,,
2017-03-26,,,,,,,,,
2017-03-27,,,,,,,,,
2017-03-28,,,,,,,,,
2017-03-29,,,,,,,,,
2017-03-30,,,,,,,,,
2017-03-31,,,,,,,,,
2017-04-01,,,,,,,,,
2017-04-02,,,,,,,,,
2017-04-03,,,,,,,,,
2017-04-04,,,,,,,,,
2017-04-05,,,,,,,,,
2017-04-06,,,,,,,,,
2017-04-07,,,,,,,,,
2017-04-08,,,,,,,,,
2017-04-09,,,,,,,,,
2017-04-10,,,,,,,,,
2017-04-11,,,,,,,,,
2017-04-12,,,,,,,,,
2017-04-13,,,,,,,,,
2017-04-14,,,,,,,,,
2017-04-15,,,,,,,,,
2017-04-16,,,,,,,,,
2017-04-17,,,,,,,,,
2017-04-18,,,,,,,,,
2017-04-19,,,,,,,,,
2017-04-20,,,,,,,,,
2017-04-21,,,,,,,,,
2017-04-22,,,,,,,,,
2017-04-23,,,,,,,,,
2017-04-24,,,,,,,,,
2017-04-25,,,,,,,,,
2017-04-26,,,,,,,,,
2017-04-27,,,,,,,,,
2017-04-28,,,,,,,,,
2017-04-29,,,,,,,,,
2017-04-30,,,,,,,,,
2017-05-01,,,,,,,,,
2017-05-02,,,,,,,,,
2017-05-03,,,,,,,,,
2017-05-04,,,,,,,,,
2017-05-05,,,,,,,,,
2017-05-06,,,,,,,,,
2017-05-07,,,,,,,,,
2017-05-08,,,,,,,,,
2017-05-09,,,,,,,,,
2017-05-10,,,,,,,,,
2017-05-11,,,,,,,,,
2017-05-12,,,,,,,,,
2017-05-13,,,,,,,,,
2017-05-14,,,,,,,,,
2017-05-15,,,,,,,,,
2017-05-16,,,,,,,,,
2017-05-17,,,,,,,,,
2017-05-18,,,,,,,,,
2017-05-19,,,,,,,,,
2017-05-20,,,,,,,,,
2017-05-21,,,,,,,,,
2017-05-22,,,,,,,,,
2017-05-23,,,,,,,,,
2017-05-24,,,,,,,,,
2017-05-25,,,,,,,,,
2017-05-26,,,,,,,,,
2017-05-27,,,,,,,,,
2017-05-28,,,,,,,,,
2017-05-29,,,,,,,,,
2017-05-30,,,,,,,,,
2017-05-31,,,,,,,,,
2017-06-01,,,,,,,,,
2017-06-02,,,,,,,,,
2017-06-03,,,,,,,,,
2017-06-04,,,,,,,,,
2017-06-05,,,,,,,,,
2017-06-06,,,,,,,,,
2017-06-07,,,,,,,,,
2017-06-08,,,,,,,,,
2017-06-09,,,,,,,,,
2017-06-10,,,,,,,,,
2017-06-11,,,,,,,,,
2017-06-12,,,,,,,,,
2017-06-13,,,,,,,,,
2017-06-14,,,,,,,,,
2017-06-15,,,,,,,,,
2017-06-16,,,,,,,,,
2017-06-17,,,,,,,,,
2017-06-18,,,,,,,,,
2017-06-19,,,,,,,,,
2017-06-20,,,,,,,,,
2017-06-21,,,,,,,,,
2017-06-22,,,,,,,,,
2017-06-23,,,,,,,,,
2017-06-24,,,,,,,,,
2017-06-25,,,,,,,,,
2017-06-26,,,,,,,,,
2017-06-27,,,,,,,,,
2017-06-28,,,,,,,,,
2017-06-29,,,,,,,,,
2017-06-30,,,,,,,,,
2017-07-01,,,,,,,,,
2017-07-02,,,,,,,,,
2017-07-03,,,,,,,,,
2017-07-04,,,,,,,,,
2017-07-05,,,,,,,,,
2017-07-06,,,,,,,,,
2017-07-07,,,,,,,,,
2017-07-08,,,,,,,,,
2017-07-09,,,,,,,,,
2017-07-10,,,,,,,,,
2017-07-11,,,,,,,,,
2017-07-12,,,,,,,,,
2017-07-13,,,,25.233571428571427,13.07642857142857,33.723571428571425,,,
2017-07-14,,,,27.80125,19.019583333333333,336.845625,,,
2017-07-15,,,,27.760833333333334,17.883333333333333,280.931875,,,
2017-07-16,,,,23.6925,7.227708333333333,248.17395833333333,,,
2017-07-17,,,,24.348541666666666,7.765,186.875625,,,
2017-07-18,,,,25.581666666666667,11.079374999999999,255.80895833333332,,,
2017-07-19,,,,24.887083333333333,11.446875,231.84416666666667,,,
2017-07-20,,,,25.274375000000003,11.646041666666667,244.81125,,,
2017-07-21,2.2186363636363637,,,25.8325,11.798333333333334,325.65770833333335,,,
2017-07-22,1.9616666666666667,,,25.036041666666666,9.255208333333334,249.365625,,,
2017-07-23,1.4672916666666664,,,23.722708333333333,6.167083333333333,186.1364583333333,,,
2017-07-24,1.33,,,23.716458333333335,6.294583333333333,149.826875,,,
2017-07-25,1.70875,,,27.011875,16.105833333333333,329.92812499999997,,,
2017-07-26,1.3716666666666668,,,27.868125000000003,19.376458333333336,237.6447916666667,,,
2017-07-27,1.9114583333333333,,,28.333333333333332,21.060624999999998,222.32916666666665,,,
2017-07-28,1.8795833333333334,,,25.039375000000003,12.29,250.68458333333334,,,
2017-07-29,1.6156249999999999,,,24.373791666666666,9.29825625,179.7095833333333,,,
2017-07-30,1.159375,,,24.359375,8.34125,163.74166666666665,,,
2017-07-31,1.7227083333333333,,,25.911875,12.553958333333334,190.9622916666667,,,
2017-08-01,2.0083333333333333,,,26.790208333333336,16.173750000000002,206.385625,,,
2017-08-02,1.8085416666666667,,,25.027916666666666,10.664166666666667,117.95604166666668,,,
2017-08-03,1.6048936170212764,,,26.189791666666665,12.871250000000002,249.2385416666667,,,
2017-08-04,1.9252083333333332,,,27.51625,17.807083333333335,314.40270833333335,,,
2017-08-05,2.063125,,,27.905,19.71125,308.42625,,,
2017-08-06,1.8366666666666667,,,28.023333333333337,23.5125,342.7245833333333,,,
2017-08-07,1.9283333333333335,,,28.49791666666667,26.64625,337.9789583333333,,,
2017-08-08,1.7097916666666666,,,29.8549,31.700960416666664,313.0995833333333,,,
2017-08-09,1.9464583333333334,,,29.593541666666667,27.126458333333332,266.07687500000003,,,
2017-08-10,2.0745833333333334,,,27.312708333333333,18.237083333333334,210.719375,,,
2017-08-11,1.7489583333333334,,,28.931458333333335,23.148750000000003,294.2402083333333,,,
